cityId,cultureScore,goldTotal,productionTotal,goldScore,scienceTotal,cityScore,cultureTotal,productionScore,foodScore,cityTotal,foodTotal,scienceScore
260,0,358.7499999999999,201.04999999999995,0,158.97,0,149.7200000000001,0,0,17,288.0,0
261,0,256.0,129.70000000000002,0,164.0,0,88.12000000000006,0,0,4,307.0,0
262,0,257.25,144.4,0,161.21000000000004,0,138.8800000000001,0,0,9,351.0,0
263,1,312.5,505.0,0,201.57,1,238.89999999999995,1,0,31,350.0,1
264,0,423.6,383.6,1,194.91,0,121.15000000000003,0,1,29,542.0,0
265,1,430.19999999999993,431.45000000000005,1,271.75,1,346.7599999999998,0,0,36,400.0,1
266,0,368.55,546.3499999999999,1,203.9200000000002,1,160.41,1,0,34,474.0,1
267,0,490.8000000000003,468.40000000000026,1,177.29,0,123.54999999999991,0,0,23,342.0,0
268,0,511.2500000000003,667.4499999999998,1,173.42999999999998,0,167.14999999999992,1,0,30,345.0,0
269,0,303.25,421.5000000000004,0,190.87999999999988,0,103.4999999999999,0,0,22,434.0,0
270,0,358.9,142.0,0,175.60999999999999,0,147.15999999999997,0,0,19,382.0,0
271,0,257.25,184.49999999999994,0,161.21000000000004,0,145.18000000000012,0,0,10,289.0,0
272,0,262.5,133.65,0,153.86000000000013,0,136.36,0,0,5,200.0,0
273,0,313.84999999999997,162.84999999999997,0,195.14,0,159.43000000000004,0,1,28,542.0,0
274,1,297.1999999999999,186.69999999999993,0,196.72,0,170.96000000000004,0,1,30,544.0,0
275,0,258.75,182.69999999999993,0,155.47000000000006,0,148.5200000000001,0,0,10,270.0,0
276,0,252.5299999999999,112.89999999999999,0,193.31,0,126.98000000000002,0,1,16,565.0,0
277,0,293.29999999999995,114.69999999999999,0,182.65999999999997,0,117.28000000000002,0,0,16,435.0,0
278,0,286.94999999999993,75.74999999999994,0,180.7,0,98.33999999999996,0,0,14,477.0,0
279,1,349.8999999999997,584.9499999999999,0,295.2499999999999,1,194.59999999999988,1,1,40,504.0,1
280,0,292.25,520.3,0,228.40000000000003,0,126.4099999999999,1,1,30,885.0,1
